IR,Target,Model,Time,NNVM
relay,arm_cpu,dqn,7.605505,0
relay,arm_cpu,dqn,7.591546999999999,0
relay,arm_cpu,dqn,7.563838,0
relay,arm_cpu,dqn,7.562119,0
relay,arm_cpu,dqn,7.525922,0
relay,arm_cpu,dqn,7.669827,0
relay,arm_cpu,dqn,7.567328,0
relay,arm_cpu,dqn,7.553057,0
relay,arm_cpu,dqn,7.520557,0
relay,arm_cpu,dqn,7.573005,0
relay,arm_cpu,resnet-18,545.580376,0
relay,arm_cpu,resnet-18,546.0379760000001,0
relay,arm_cpu,resnet-18,545.31246,0
relay,arm_cpu,resnet-18,550.855856,0
relay,arm_cpu,resnet-18,543.066849,0
relay,arm_cpu,resnet-18,545.814276,0
relay,arm_cpu,resnet-18,547.565668,0
relay,arm_cpu,resnet-18,551.204651,0
relay,arm_cpu,resnet-18,543.309031,0
relay,arm_cpu,resnet-18,545.6906270000001,0
relay,arm_cpu,mobilenet,152.450904,0
relay,arm_cpu,mobilenet,152.612935,0
relay,arm_cpu,mobilenet,152.16304,0
relay,arm_cpu,mobilenet,152.196373,0
relay,arm_cpu,mobilenet,152.43220599999998,0
relay,arm_cpu,mobilenet,152.103821,0
relay,arm_cpu,mobilenet,152.029185,0
relay,arm_cpu,mobilenet,152.50283000000002,0
relay,arm_cpu,mobilenet,152.073092,0
relay,arm_cpu,mobilenet,152.274862,0
relay,gpu,dqn,0.404351,0
relay,gpu,dqn,0.437174,0
relay,gpu,dqn,0.44005900000000003,0
relay,gpu,dqn,0.437634,0
relay,gpu,dqn,0.439527,0
relay,gpu,dqn,0.437994,0
relay,gpu,dqn,0.439968,0
relay,gpu,dqn,0.437484,0
relay,gpu,dqn,0.44065,0
relay,gpu,dqn,0.44007799999999997,0
relay,gpu,resnet-18,2.94793,0
relay,gpu,resnet-18,2.9482229999999996,0
relay,gpu,resnet-18,2.9345679999999996,0
relay,gpu,resnet-18,2.938068,0
relay,gpu,resnet-18,2.9215030000000004,0
relay,gpu,resnet-18,2.935959,0
relay,gpu,resnet-18,2.9552519999999998,0
relay,gpu,resnet-18,2.935427,0
relay,gpu,resnet-18,2.926428,0
relay,gpu,resnet-18,2.946377,0
relay,gpu,mobilenet,1.147948,0
relay,gpu,mobilenet,1.143319,0
relay,gpu,mobilenet,1.1457629999999999,0
relay,gpu,mobilenet,1.1453119999999999,0
relay,gpu,mobilenet,1.1453730000000002,0
relay,gpu,mobilenet,1.14412,0
relay,gpu,mobilenet,1.146154,0
relay,gpu,mobilenet,1.14381,0
relay,gpu,mobilenet,1.148269,0
relay,gpu,mobilenet,1.1428880000000001,0
nnvm,arm_cpu,dqn,7.590635,7.5027870000000005
nnvm,arm_cpu,dqn,7.48673,7.5027870000000005
nnvm,arm_cpu,dqn,7.521469000000001,7.5027870000000005
nnvm,arm_cpu,dqn,7.447043000000001,7.5027870000000005
nnvm,arm_cpu,dqn,7.5277709999999995,7.5027870000000005
nnvm,arm_cpu,dqn,7.517145999999999,7.5027870000000005
nnvm,arm_cpu,dqn,7.511053,7.5027870000000005
nnvm,arm_cpu,dqn,7.434647,7.5027870000000005
nnvm,arm_cpu,dqn,7.4938649999999996,7.5027870000000005
nnvm,arm_cpu,dqn,7.497511,7.5027870000000005
nnvm,arm_cpu,resnet-18,550.341091,550.5281365000001
nnvm,arm_cpu,resnet-18,549.1880689999999,550.5281365000001
nnvm,arm_cpu,resnet-18,550.343121,550.5281365000001
nnvm,arm_cpu,resnet-18,550.792392,550.5281365000001
nnvm,arm_cpu,resnet-18,548.3821829999999,550.5281365000001
nnvm,arm_cpu,resnet-18,554.033017,550.5281365000001
nnvm,arm_cpu,resnet-18,551.313693,550.5281365000001
nnvm,arm_cpu,resnet-18,551.1376,550.5281365000001
nnvm,arm_cpu,resnet-18,550.01687,550.5281365000001
nnvm,arm_cpu,resnet-18,549.733329,550.5281365000001
nnvm,arm_cpu,mobilenet,141.670093,141.61186990000002
nnvm,arm_cpu,mobilenet,141.234004,141.61186990000002
nnvm,arm_cpu,mobilenet,141.56499,141.61186990000002
nnvm,arm_cpu,mobilenet,141.614678,141.61186990000002
nnvm,arm_cpu,mobilenet,141.510511,141.61186990000002
nnvm,arm_cpu,mobilenet,141.811551,141.61186990000002
nnvm,arm_cpu,mobilenet,141.319107,141.61186990000002
nnvm,arm_cpu,mobilenet,141.913945,141.61186990000002
nnvm,arm_cpu,mobilenet,141.62295799999998,141.61186990000002
nnvm,arm_cpu,mobilenet,141.856862,141.61186990000002
nnvm,gpu,dqn,0.412358,0.4443955
nnvm,gpu,dqn,0.449026,0.4443955
nnvm,gpu,dqn,0.44958299999999995,0.4443955
nnvm,gpu,dqn,0.44639799999999996,0.4443955
nnvm,gpu,dqn,0.44853299999999996,0.4443955
nnvm,gpu,dqn,0.446375,0.4443955
nnvm,gpu,dqn,0.44969299999999995,0.4443955
nnvm,gpu,dqn,0.44577,0.4443955
nnvm,gpu,dqn,0.449265,0.4443955
nnvm,gpu,dqn,0.446954,0.4443955
nnvm,gpu,resnet-18,1.807855,1.8071811999999998
nnvm,gpu,resnet-18,1.8068039999999999,1.8071811999999998
nnvm,gpu,resnet-18,1.804299,1.8071811999999998
nnvm,gpu,resnet-18,1.809088,1.8071811999999998
nnvm,gpu,resnet-18,1.812204,1.8071811999999998
nnvm,gpu,resnet-18,1.803807,1.8071811999999998
nnvm,gpu,resnet-18,1.805691,1.8071811999999998
nnvm,gpu,resnet-18,1.801674,1.8071811999999998
nnvm,gpu,resnet-18,1.807145,1.8071811999999998
nnvm,gpu,resnet-18,1.813245,1.8071811999999998
nnvm,gpu,mobilenet,1.1437249999999999,1.1451589
nnvm,gpu,mobilenet,1.14459,1.1451589
nnvm,gpu,mobilenet,1.1455849999999999,1.1451589
nnvm,gpu,mobilenet,1.145262,1.1451589
nnvm,gpu,mobilenet,1.144424,1.1451589
nnvm,gpu,mobilenet,1.147819,1.1451589
nnvm,gpu,mobilenet,1.1460000000000001,1.1451589
nnvm,gpu,mobilenet,1.144113,1.1451589
nnvm,gpu,mobilenet,1.1455499999999998,1.1451589
nnvm,gpu,mobilenet,1.144521,1.1451589
tf,gpu,resnet-18,3.90033333,0
tf-xla,gpu,resnet-18,4.04266666,0
tf,gpu,mobilenet,2.51266666,0
tf-xla,gpu,mobilenet,8.03033333,0
tf,gpu,dqn,0.408,0
tf-xla,gpu,dqn,0.432,0
tf,gpu,dcgan,0.71233333,0
tf-xla,gpu,dcgan,0.674,0
tflite,arm_cpu,mobilenet,301.423044,0
tflite,arm_cpu,resnet-18,753.04408100000001,0
tflite,arm_cpu,dqn,11.290524000000001,0
